Team,Region,Team_abbr
Epik Gamer,North America,EPIK
Team Pacific,SEA,PCFC
CLG Prime,North America,NRG
NaJin Sword,Korea,NJBS
Moscow Five,CIS,M5
GamingGear.eu,CIS,GG.EU
Samsung Ozone,Korea,SSW
Star Horn Royal Club,China,RYL
KOO Tigers,Korea,HLE
Lyon Gaming (2013 Latin American Team),LAN,LYN
GIGABYTE Marines,Vietnam,GAM
SuperMassive Esports,EMEA,SUP
Afreeca Freecs,Korea,KDF
Griffin (Korean Team),Korea,GRF
Rainbow7,Latin America,R7
Rogue (European Team),Europe,RGE
PEACE (Oceanic Team),PCS,PCE
Evil Geniuses.NA,North America,EG
Istanbul Wildcats,EMEA,IW
