,Team,Points
119,T1,2348
20,G2,2139
34,C9,2083
183,DK,1976
174,GEN,1957
27,DFM,1895
21,FNC,1884
56,TL,1692
77,KT,1550
33,TSM,1462
98,GAM,1445
75,KDF,1425
22,ISG,1390
138,MAD,1361
41,SUP,1346
137,JT,1336
49,FB,1260
3,INF,1197
173,HLE,1185
141,100,1138
133,R7,1085
226,PSG,1065
37,CHF,1065
55,FLY,1060
30,UOL,1030
28,MSF,1004
212,EG,955
0,DW,939
42,DP,913
70,PNG,890
191,SG,885
63,KBM,882
203,IW,871
53,CLG,868
17,GG,868
29,VIT,852
65,LGC,835
190,RGE,828
146,MCX,807
66,RED,805
222,DRX,801
114,V3,766
126,KZ,765
24,FG,762
122,HKA,754
45,GS,751
61,AUR,739
165,FLA,726
69,GMB,717
134,ORD,708
50,ITZ,703
159,CGA,697
103,ahq,690
51,SPY,685
40,RJ,675
167,GRF,673
245,BYG,666
130,EVS,637
195,AK,633
32,KLG,622
106,BC,589
125,FW,583
237,LSB,577
48,GAL,572
112,BJK,571
57,DIG,559
151,S04,553
244,EST,553
58,IMT,540
216,SHG,540
44,USG,534
148,GRX,519
109,AV,517
224,SGB,511
261,CFO,500
236,NS,485
15,LYN,453
242,NSR,453
178,PVB,449
243,LLL,440
6,D9,426
198,SK,419
72,VEG,413
35,FOX,396
258,DCG,372
19,H2K,369
192,AXZ,367
139,VK,367
194,XL,366
142,CG,365
83,PRG,362
171,MEC,360
259,FAK,355
199,XTN,346
220,FUR,346
25,RBT,342
60,HWA,339
67,M19,339
143,BMR,336
239,SE,326
149,RBE,324
13,PDS,322
193,RYL,320
78,JAG,320
131,FTV,320
214,5R,317
18,OG,305
229,IMP,302
132,FFQ,301
26,RPG,297
31,LK,296
59,SIN,290
46,CEC,289
52,CNB,278
136,CR,277
153,DA,276
189,ALF,275
252,AZE,271
179,CC,265
154,EPG,263
235,LX,260
47,ROC,255
54,NV,246
23,HAF,244
36,P1,242
123,RNG,237
116,YGE,227
164,PIX,224
124,EDG,218
14,JTH,211
241,AST,209
250,SMB,208
227,OBG,207
16,ZTG,204
217,BJD,204
81,bbq,203
152,PGM,202
128,MVP,197
144,YC,194
108,ONE,193
155,TJ,189
177,ADN,182
43,7h,181
246,BME,176
240,SKY,174
256,BDS,169
268,TW,165
186,SGD,162
197,GRV,161
145,OPT,159
188,RDP,158
80,ROX,147
218,TLN,143
1,ABY,143
184,iG,137
147,AFR,137
71,VS,137
276,6K,134
272,LOS,133
205,LYB,133
278,FL,132
64,GIA,128
68,VP,127
213,PGG,126
187,UP,120
257,LBR,118
97,ASC,110
86,LGT,107
201,MG,106
260,MFT,106
127,KSV,106
94,KLH,104
209,DYN,103
175,BUR,102
211,FPX,101
79,SSG,97
11,TM,95
231,JDG,93
10,6SN,91
121,WE,89
115,RSG,88
93,Mineski,88
96,RGC,85
253,GET,84
169,EVV,83
210,UCH,82
271,BRO,82
76,KDM,81
277,FUT,78
232,TES,75
274,FX,75
233,SN,75
140,DHX,73
248,GE,72
74,LZ,69
221,SAN,66
249,VRX,66
230,LGD,65
105,P3P,64
4,IFG,63
251,BSG,63
100,B2K,60
204,WIN,60
202,QG,58
265,ASE,57
225,OPG,56
89,FNC.A,55
275,TH,53
73,Just A,52
273,VKS,52
172,IDM,49
270,TK,48
135,TTC,47
176,HNV,46
254,LNG,46
7,Satori,45
110,tM,42
267,DWT,40
255,PCE,39
39,SZ,38
150,UC,38
5,SC,38
208,AXE,37
118,TME,37
90,MSF.A,36
87,GCU,36
182,BtC,35
101,NIP,35
180,Pars,32
238,CRZ,30
196,DG,30
38,X5,29
62,OPK,28
107,MM,26
223,SP,25
234,VGE,25
279,S9W,24
262,TSPT,24
280,HPS,24
247,CPT,24
215,VGA,23
228,PER,23
129,HOF,22
82,ITG,21
160,SZBC,21
163,AFB,20
84,DNR,18
113,OH,18
181,CHFA,18
266,NMG,18
9,AES,16
92,Fortius,15
168,CA,14
263,S9,13
95,Rigel,13
88,EUN,13
156,SVR,12
219,SRB,12
161,PEX,12
264,HG,11
200,ESS,10
162,EW,10
117,HH,9
91,OLW,9
12,NHK,8
111,FNT,8
207,DMO,8
185,LPG,8
170,MKE,6
166,EEW,6
269,INC,0
120,CJ,0
8,DEGs,0
104,WS,0
85,BEN,0
102,TSW,0
99,TT,0
158,CAP,0
206,AP,0
2,BWL,0
157,CMCE,0
281,MBE,0
282,TB,0
283,LEV,0
