Year,Region_code_Win,Region_code_Win
2011,EMEA,672
2011,NA,1071
2011,PCS,21
2012,CN,133
2012,EMEA,95
2012,INT,722
2012,KR,513
2012,NA,95
2012,PCS,19
2013,CN,960
2013,EMEA,2112
2013,INT,240
2013,KR,2496
2013,NA,480
2014,BR,57
2014,CN,5130
2014,EMEA,399
2014,INT,57
2014,KR,2280
2014,NA,912
2014,PCS,171
2015,BR,112
2015,CN,448
2015,EMEA,896
2015,INT,728
2015,KR,5152
2015,NA,336
2015,PCS,224
2016,BR,57
2016,CN,627
2016,EMEA,570
2016,INT,342
2016,KR,2109
2016,NA,513
2016,PCS,171
2017,BR,90
2017,CN,1668
2017,EMEA,1666
2017,INT,358
2017,KR,2204
2017,LAT,30
2017,NA,1382
2017,PCS,236
2017,VN,640
2018,BR,30
2018,CN,1688
2018,EMEA,2558
2018,INT,526
2018,JP,60
2018,KR,1624
2018,LAT,90
2018,NA,1602
2018,PCS,600
2018,VN,116
2019,BR,31
2019,CN,2109
2019,EMEA,1673
2019,INT,155
2019,JP,31
2019,KR,3067
2019,LAT,93
2019,NA,471
2019,PCS,450
2019,VN,150
2020,BR,28
2020,CN,2632
2020,EMEA,1316
2020,INT,168
2020,JP,140
2020,KR,1736
2020,LAT,280
2020,NA,448
2020,PCS,700
2021,BR,286
2021,CN,1977
2021,EMEA,1324
2021,INT,26
2021,JP,104
2021,KR,3066
2021,NA,1505
2021,PCS,963
2022,BR,144
2022,CN,3180
2022,EMEA,2214
2022,JP,396
2022,KR,3804
2022,LAT,180
2022,NA,1846
2022,PCS,130
2022,VN,310
